titleId,directors
tt0023622,nm0523932
tt0023649,nm0003433
tt0023652,nm0291387
tt0023663,"nm0259611,nm0951170"
tt0023694,nm0356931
tt0023753,"nm0411208,nm0363414,nm0572851"
tt0023786,nm0478441
tt0023815,nm0005847
tt0023841,nm0293260
tt0023873,nm0466113
tt0023911,nm0943758
tt0023933,nm0655065
tt0023948,nm0002030
tt0023950,nm0294137
tt0023969,nm0564970
tt0024042,nm0292134
tt0024055,nm0403054
tt0024088,nm0954673
tt0024136,nm0869665
tt0024166,nm0749484
tt0024216,"nm0178260,nm0774325"
tt0024219,"nm0401680,nm0545730"
tt0024264,nm0002030
tt0024344,nm0663613
tt0024405,nm0184738
tt0024473,nm0466099
tt0024481,nm0541149
tt0024610,nm0454771
tt0024663,"nm0769585,nm0163786"
tt0024700,nm0224543
tt0024703,nm0076779
tt0024720,nm0649097
tt0024779,nm0260567
tt0024819,nm0595451
tt0024822,nm0282549
tt0024831,nm0629519
tt0024844,nm0897118
tt0024866,nm0293989
tt0024874,nm0006276
tt0024897,nm0624756
tt0024898,nm0615868
tt0024902,nm0102908
tt0024903,"nm0749484,nm0500552"
tt0024906,"nm0792514,nm0176699"
tt0024956,nm0454771
tt0024971,nm0005847
tt0024991,nm0001124
tt0024996,nm0090007
tt0025004,nm0498174
tt0025032,nm0908076
tt0025050,nm0909398
tt0025186,nm0303120
tt0025202,nm0908234
tt0025285,nm0245385
tt0025316,nm0001008
tt0025318,nm0572851
tt0025321,"nm0412650,nm0191386,nm0262337"
tt0025323,nm0127511
tt0025327,nm0624756
tt0025329,nm0578985
tt0025378,nm0624714
tt0025410,nm0355284
tt0025442,nm0719756
tt0025452,nm0000033
tt0025456,nm0280904
tt0025467,nm0178057
tt0025488,nm0564971
tt0025504,nm0763798
tt0025520,nm0485647
tt0025586,nm0188669
tt0025626,nm0657535
tt0025630,nm0485943
tt0025724,nm0002061
tt0025747,nm0897085
tt0025748,nm0949597
tt0025863,nm0560395
tt0025878,nm0886754
tt0025896,nm0932625
tt0025907,nm0281808
tt0025919,nm0001328
tt0025929,nm0654868
tt0025983,nm0624756
tt0025985,nm0916665
tt0026029,nm0000033
tt0026071,nm0113284
tt0026097,"nm0943758,nm0001328"
tt0026124,nm0245385
tt0026139,nm0000923
tt0026164,nm0920074
tt0026174,nm0002031
tt0026234,nm0572851
tt0026249,nm0001124
tt0026252,nm0191899
tt0026266,nm0002030
tt0026274,nm0059400
tt0026285,nm0806143
tt0026402,nm0669260
tt0026410,nm0782597
tt0026424,nm0943758
tt0026484,nm0414797
tt0026598,nm0293989
tt0026636,nm0005847
tt0026637,nm0054977
tt0026643,nm0368871
tt0026649,nm0212704
tt0026663,nm0005713
tt0026672,nm0454734
tt0026714,"nm0226189,nm0718121"
tt0026752,nm0515979
tt0026778,"nm0332539,nm0939992"
tt0026860,nm0763453
tt0026914,nm0281808
tt0026972,nm0250038
tt0026980,nm0782707
tt0026982,nm0282549
tt0026983,"nm0390226,nm0681635"
tt0026991,nm0006943
tt0027033,nm0637790
tt0027050,nm0097648
tt0027089,nm0395023
tt0027099,nm0498174
tt0027125,nm0762263
tt0027154,nm0909825
tt0027185,nm0454771
tt0027194,nm0908234
tt0027209,nm0119886
tt0027228,nm0282984
tt0027260,nm0886754
tt0027286,nm0954394
tt0027302,nm0587277
tt0027311,nm0194492
tt0027400,nm0103975
tt0027422,nm0384682
tt0027438,nm0002031
tt0027459,"nm0001328,nm0744514,nm0943758"
tt0027527,nm0782682
tt0027532,nm0943758
tt0027536,nm0000813
tt0027564,nm0005847
tt0027568,nm0005847
tt0027602,nm0386785
tt0027630,nm0762263
tt0027631,nm0128715
tt0027640,nm0783509
tt0027652,nm0000485
tt0027698,nm0502752
tt0027742,nm0245385
tt0027757,nm0282984
tt0027769,nm0245385
tt0027770,nm0482742
tt0027793,nm0250038
tt0027796,nm0596410
tt0027824,nm0250038
tt0027849,nm0437356
tt0027868,nm0127511
tt0027869,nm0782707
tt0027884,nm0176699
tt0027888,nm0928214
tt0027914,nm0886754
tt0027968,nm0000813
tt0027977,nm0000122
tt0027996,nm0001008
tt0028010,nm0478441
tt0028034,nm0497961
tt0028037,nm0172151
tt0028092,nm0572851
tt0028096,nm0562845
tt0028108,nm0001124
tt0028167,nm0466099
tt0028212,nm0000033
tt0028231,nm0000033
tt0028243,nm0178057
tt0028244,nm0783461
tt0028249,nm0001843
tt0028291,nm0547446
tt0028333,nm0828419
tt0028343,nm0005847
tt0028346,nm0309163
tt0028381,nm0282984
tt0028387,nm0737053
tt0028391,nm0621540
tt0028420,"nm0017893,nm0799575"
tt0028501,nm0124877
tt0028502,nm0191899
tt0028575,nm0523932
tt0028597,nm0564970
tt0028601,nm0128715
tt0028623,nm0782707
tt0028627,nm0833965
tt0028683,nm0002030
tt0028739,"nm0113284,nm0532561"
tt0028772,nm0939992
tt0028773,nm0943758
tt0028783,nm0448915
tt0028785,"nm0853028,nm0416258"
tt0028789,nm0006943
tt0028818,nm0003836
tt0028850,nm0782707
tt0028988,nm0245385
tt0028997,nm0744514
tt0029030,nm0000406
tt0029047,nm0454771
tt0029054,nm0005847
tt0029061,nm0006943
tt0029081,"nm0829038,nm0054787"
tt0029146,nm0226189
tt0029162,nm0001008
tt0029178,nm0483944
tt0029270,nm0641007
tt0029284,nm0437717
tt0029318,nm0576940
tt0029322,nm0920074
tt0029380,nm0614634
tt0029440,"nm0445033,nm0226189"
tt0029451,nm0003490
tt0029490,nm0520671
tt0029543,nm0170973
tt0029546,nm0762263
tt0029604,nm0478441
tt0029606,"nm0920074,nm0281808,nm0176699"
tt0029608,nm0896542
tt0029711,nm0172485
tt0029736,nm0109264
tt0029767,"nm0186276,nm0281487"
tt0029808,nm0000485
tt0029843,"nm0445033,nm0002031"
tt0029850,"nm0890565,nm0001178"
tt0029852,nm0454771
tt0029870,nm0002031
tt0029940,nm0045800
tt0029947,nm0001328
tt0029992,nm0547446
tt0030138,"nm0384616,nm0066247"
tt0030169,nm0190516
tt0030190,nm0258015
tt0030279,nm0498584
tt0030341,nm0000033
tt0030371,nm0191899
tt0030386,nm0782707
tt0030413,nm0097648
tt0030567,nm0103975
tt0030637,"nm0002190,nm0001366"
tt0030643,nm0138893
tt0030846,nm0083433
tt0030858,nm0940499
tt0030864,nm0782682
tt0030969,nm0379092
tt0031020,nm0861703
tt0031022,nm0921288
tt0031039,nm0627087
tt0031047,nm0886754
tt0031088,nm0920074
tt0031143,nm0637790
tt0031177,nm0484645
tt0031210,nm0332539
tt0031225,nm0550892
tt0031235,nm0002031
tt0031252,nm0000406
tt0031328,nm0736610
tt0031334,nm0466113
tt0031359,nm0225555
tt0031377,nm0541149
tt0031397,"nm0622451,nm0281487,nm0101466,nm0130725,nm0186276,nm0377431,nm0396043,nm0426322,nm0446041,nm0460667,nm0498984,nm0658476"
tt0031398,nm0828419
tt0031412,"nm0782597,nm0243295"
tt0031448,nm0485647
tt0031455,nm0226189
tt0031491,nm0711855
tt0031499,nm0921288
tt0031503,nm0304098
tt0031505,nm0000033
tt0031506,nm0163332
tt0031580,"nm0782682,nm0485943"
tt0031593,nm0564970
tt0031602,nm0188669
tt0031619,nm0001843
tt0031650,nm0006276
tt0031679,nm0001008
tt0031725,nm0523932
tt0031742,nm0587277
tt0031757,nm0221423
tt0031762,nm0001328
tt0031826,nm0002031
tt0031829,nm0595271
tt0031864,nm0625726
tt0031865,nm0523893
tt0031867,nm0909825
tt0031885,nm0719756
tt0031887,nm0949597
tt0031950,nm0002179
tt0031971,nm0000406
tt0031974,nm0215877
tt0032028,nm0245385
tt0032138,"nm0002030,nm0851537,nm0861703,nm0503777,nm0281808,nm0896542"
tt0032143,nm0002030
tt0032145,nm0943758
tt0032209,"nm0372942,nm0005716"
tt0032234,nm0166836
tt0032281,nm0368871
tt0032284,nm0851537
tt0032290,"nm0066247,nm0328966"
tt0032359,nm0855147
tt0032373,nm0940453
tt0032383,nm0909825
tt0032455,"nm0789313,nm0766402,nm0730860,nm0527217,nm0414144,nm0373429,nm0359610,nm0359457,nm0272568,nm1968474,nm0035899,nm0019282"
tt0032461,nm0869645
tt0032475,"nm0066247,nm0853028"
tt0032484,nm0000033
tt0032491,nm0776838
tt0032520,nm0550892
tt0032536,nm0125636
tt0032551,nm0000406
tt0032553,nm0000122
tt0032571,"nm0861703,nm0940499"
tt0032599,nm0001328
tt0032605,nm0411208
tt0032612,nm0515979
tt0032694,nm0853028
tt0032701,nm0943758
tt0032703,nm0736610
tt0032717,nm0572851
tt0032745,nm0109264
tt0032762,nm0541149
tt0032881,nm0939992
tt0032884,nm0825596
tt0032904,nm0002030
tt0032910,"nm0414144,nm0730860,nm0455741,nm0272568,nm0527217,nm0789313,nm0373429"
tt0032943,nm0502752
tt0032976,nm0000033
tt0032993,nm0006276
tt0033021,nm0002031
tt0033028,nm0002031
tt0033040,nm0395023
tt0033045,nm0523932
tt0033097,nm0005062
tt0033124,nm0524995
tt0033149,nm0909825
tt0033152,"nm0003490,nm0003836,nm0924065,nm0466099,nm0466113,nm0580017"
tt0033193,nm0595804
tt0033220,nm0188669
tt0033253,nm0943758
tt0033317,"nm0936823,nm0257638"
tt0033373,nm0001328
tt0033405,nm0541149
tt0033467,nm0000080
tt0033482,"nm0310449,nm0882190"
tt0033549,nm0064415
tt0033553,nm0281808
tt0033558,nm0285946
tt0033563,"nm0730860,nm0455741,nm0272568,nm0789313,nm0254675,nm0035899,nm0414144"
tt0033577,"nm0125636,nm0744514"
tt0033680,nm0437356
tt0033717,nm0909825
tt0033729,nm0000406
tt0033804,nm0002545
tt0033836,nm0943758
tt0033870,nm0001379
tt0033874,nm0445033
tt0033891,nm0001008
tt0033910,nm0076779
tt0033922,nm0000033
tt0033953,nm0437717
tt0034012,nm0828419
tt0034055,nm0550892
tt0034116,nm0006276
tt0034172,nm0886754
tt0034175,nm0903049
tt0034185,nm0568915
tt0034240,nm0002545
tt0034248,nm0000033
tt0034269,nm0550892
tt0034303,nm0215877
tt0034337,nm0792605
tt0034405,nm0454771
tt0034409,nm0485647
tt0034415,"nm0502752,nm0000923"
tt0034435,"nm0409741,nm0491504"
tt0034446,nm0221423
tt0034465,nm0712639
tt0034498,nm0000406
tt0034587,nm0869664
tt0034622,nm0176699
tt0034639,nm0294094
tt0034746,nm0000923
tt0034774,nm0688232
tt0034828,nm0792605
tt0034889,nm0568915
tt0034928,nm0466113
tt0034967,nm0627864
tt0035015,"nm0281381,nm0000080,nm0936404"
tt0035093,nm0943758
tt0035105,nm0355284
tt0035160,nm0899581
tt0035169,nm0002545
tt0035211,nm0939992
tt0035238,nm0503777
tt0035244,nm0001124
tt0035248,nm0826094
tt0035262,nm0124877
tt0035272,nm0920074
tt0035279,nm0000033
tt0035317,nm0624756
tt0035318,nm0712639
tt0035369,nm0258015
tt0035414,nm0163332
tt0035417,nm0828419
tt0035423,nm0003506
tt0035432,nm0878338
tt0035443,nm0498584
tt0035447,nm0401680
tt0035462,nm0403126
tt0035524,"nm0281487,nm0101466"
tt0035530,nm0268513
tt0035538,nm0104794
tt0035567,nm0828419
tt0035575,nm0002031
tt0035583,nm0782682
tt0035605,nm0861703
tt0035629,nm0448915
tt0035664,nm0307819
tt0035665,nm0385171
tt0035746,nm0268513
tt0035752,nm0894509
tt0035753,nm0167241
tt0035763,nm0562845
tt0035799,nm0202681
tt0035841,nm0644983
tt0035896,nm0939992
tt0035897,"nm0767701,nm0332539,nm0163229,nm0928214,nm0362567,nm0829038,nm0515979"
tt0035912,nm0002165
tt0035939,nm0064415
tt0035957,nm0782597
tt0035979,nm0523932
tt0036009,nm0821472
tt0036092,nm0782682
tt0036094,nm0920074
tt0036098,nm0928208
tt0036172,nm0828419
tt0036182,nm0776838
tt0036191,nm0902082
tt0036200,nm0510357
tt0036203,nm0908831
tt0036241,"nm0400652,nm0001328"
tt0036244,nm0920074
tt0036261,nm0523893
tt0036262,nm0247484
tt0036279,nm0005062
tt0036323,nm0466113
tt0036326,"nm0272568,nm0455741,nm0527217,nm0730860,nm0414144"
tt0036336,"nm0611157,nm0460667,nm0281487"
tt0036342,nm0000033
tt0036348,nm0624756
tt0036349,nm0624756
tt0036377,nm0454771
tt0036443,"nm0783509,nm0459801"
tt0036451,nm0075318
tt0036590,nm0002179
tt0036613,nm0001008
tt0036619,nm0564971
tt0036640,nm0325135
tt0036653,nm0880618
tt0036656,"nm0053484,nm0360253"
tt0036659,nm0000033
tt0036670,nm0763798
tt0036672,nm0498174
tt0036696,"nm0572851,nm0202088"
tt0036720,nm0627864
tt0036722,nm0882190
tt0036723,nm0896533
tt0036744,"nm0122483,nm0366578"
tt0036745,nm0211964
tt0036750,nm0166730
tt0036757,"nm0245213,nm0494110"
tt0036779,nm0627864
tt0036855,nm0002030
tt0036868,nm0943758
tt0036910,nm0000059
tt0036931,nm0448915
tt0036940,"nm0002030,nm0226189"
tt0036962,nm0163229
tt0036969,nm0829038
tt0037007,nm0496505
tt0037008,nm0695937
tt0037017,nm0000033
tt0037025,nm0739794
tt0037059,nm0591486
tt0037077,nm0002545
tt0037094,nm0792605
tt0037120,nm0113284
tt0037137,nm0105774
tt0037138,nm0853130
tt0037149,nm0111612
tt0037150,nm0355284
tt0037193,"nm0485647,nm0124877"
tt0037227,nm0455839
tt0037280,"nm0188669,nm0166836,nm0307819,nm0006388"
tt0037323,nm0045800
tt0037330,nm0802563
tt0037343,nm0547446
tt0037365,nm0861703
tt0037379,nm0097648
tt0037382,nm0001328
tt0037426,nm0259611
tt0037428,nm0202681
tt0037466,nm0368871
tt0037514,"nm0360253,nm0053484,nm0796645"
tt0037515,nm0163229
tt0037522,nm0229424
tt0037536,nm0564970
tt0037539,nm0643443
tt0037547,nm0515979
tt0037557,nm0245385
tt0037558,nm0000180
tt0037576,nm0498174
tt0037595,nm0324013
tt0037627,nm0437356
tt0037630,nm0000975
tt0037638,nm0880618
tt0037642,nm0075318
tt0037644,nm0636494
tt0037645,nm0631438
tt0037674,nm0138893
tt0037691,nm0695937
tt0037702,nm0437356
tt0037795,nm0368871
tt0037800,"nm0003836,nm0696247"
tt0037807,nm0949597
tt0037829,nm0532561
tt0037830,nm0129830
