titleId,titleType,originalTitle,runtimeMinutes,averageRating
tt0095468,movie,KrÃ³tki film o zabijaniu,84,6.6
tt0095467,movie,KrÃ³tki film o milosci,87,5.8
tt0193854,movie,A Shot at Glory,114,5.8
tt0026991,movie,A Shot in the Dark,69,5.8
tt0034185,movie,A Shot in the Dark,57,6.8
tt0058586,movie,A Shot in the Dark,102,6.8
tt6082610,movie,A Shot in the Dark,86,6.8
tt0100606,movie,A Show of Force,95,4.9
tt0120324,movie,A Simple Plan,121,4.9
tt0111194,movie,A Simple Twist of Fate,106,4.9
tt0113057,movie,La fille seule,90,2.5
tt0120151,movie,A Smile Like Yours,98,2.5
tt0330904,movie,Rokugatsu no hebi,77,2.5
tt0088146,movie,A Soldier's Story,101,5.5
tt7785320,movie,A Soldier's Story,114,5.5
tt0096131,movie,A Soldier's Tale,96,5.5
tt0257215,movie,En sÃ¥ng fÃ¶r Martin,117,6.2
tt0107158,movie,Hua hun,130,6.2
tt0029606,movie,A Star Is Born,111,6.2
tt0029606,movie,A Star Is Born,111,3.4
tt0047522,movie,A Star Is Born,154,3.4
tt0047522,movie,A Star Is Born,154,3.4
tt0075265,movie,A Star Is Born,139,3.9
tt0075265,movie,A Star Is Born,139,3.9
tt1517451,movie,A Star Is Born,136,3.9
tt1517451,movie,A Star Is Born,136,8.6
tt0025929,movie,Ukikusa monogatari,86,8.6
tt0105483,movie,A Stranger Among Us,110,8.6
tt0126680,movie,A Stranger in the Kingdom,112,4.7
tt0044081,movie,A Streetcar Named Desire,122,4.7
tt0115940,movie,Conte d'Ã©tÃ©,113,4.7
tt0097106,movie,Conte de printemps,108,4.8
tt0365376,movie,"Janghwa, Hongryeon",114,4.8
tt0364093,movie,Um Filme Falado,96,4.8
tt0180242,movie,A Texas Funeral,98,3.2
tt0120323,movie,A Thousand Acres,105,3.2
tt0358590,movie,"Mil nubes de paz cercan el cielo, amor, jamÃ¡s acabarÃ¡s de ser amor",83,3.2
tt0242953,movie,A Time for Dancing,100,3.2
tt0117913,movie,A Time to Kill,149,3.2
tt0257623,movie,I epohi ton dolofonon,110,3.2
tt0289555,movie,A Time to Kill,65,6.8
tt0070819,movie,A Touch of Class,106,6.8
tt0064451,movie,Xia nÃ¼,200,6.8
tt0108395,movie,A Troll in Central Park,76,5.3
tt0165998,movie,Lung joi gong woo,112,5.3
tt0118073,movie,A Very Brady Sequel,90,5.3
tt0344510,movie,Un long dimanche de fianÃ§ailles,133,7.5
tt0259727,movie,A Voice from Heaven,60,7.5
tt0114887,movie,A Walk in the Clouds,102,7.5
tt0038235,movie,A Walk in the Sun,117,4.3
tt0078451,movie,En vandring i solen,100,4.3
tt0094289,movie,A Walk on the Moon,95,4.3
tt0120613,movie,A Walk on the Moon,107,5.5
tt0281358,movie,A Walk to Remember,101,5.5
tt0078509,tvSeries,A Woman Called Moses,240,5.5
tt0073208,movie,Jitsuroku Abe Sada,76,3.8
tt0055572,movie,Une femme est une femme,85,3.8
tt9324774,movie,A Woman Is a Woman,85,3.8
tt0072417,movie,A Woman Under the Influence,155,7.6
tt0108591,tvSeries,A Woman's Guide to Adultery,149,7.6
tt1620680,movie,A Wrinkle in Time,109,7.6
tt0034405,movie,A Yank in the R.A.F.,98,7.4
tt0088009,movie,Rok spokojnego slonca,110,7.4
tt0090366,movie,A Zed & Two Noughts,115,7.4
tt0212720,movie,A.I. Artificial Intelligence,146,6.5
tt0221794,movie,ABCD,105,6.5
tt13491066,movie,ABCD,143,6.5
tt0317052,movie,AKA,123,7.2
tt0149568,movie,Aa Ab Laut Chalen,177,7.2
tt0106203,movie,Aaina,149,7.2
tt0154178,movie,Aaina,150,5.1
tt0178186,movie,Aandhi,133,5.1
